vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations
112,0.75,203,72,2.2320268154144287,72
113,0.125,864,72,0.4659590721130371,72
113,0.25,559,72,1.2106618881225586,72
113,0.5,279,75,2.927682876586914,75
113,0.75,158,69,3.160728931427002,69
114,0.125,936,72,0.8506810665130615,72
114,0.25,415,69,1.3302233219146729,69
114,0.5,306,70,3.421351909637451,70
114,0.75,219,73,4.465252876281738,73
115,0.125,914,74,0.8702676296234131,74
115,0.25,487,72,1.1279828548431396,72
115,0.5,300,76,2.1746976375579834,76
115,0.75,203,74,5.1788530349731445,74
116,0.125,894,77,0.7306087017059326,77
116,0.25,565,75,1.3843517303466797,75
116,0.5,247,71,2.065397262573242,71
116,0.75,147,72,5.291558027267456,72
117,0.125,795,76,0.30044102668762207,76
117,0.25,325,71,1.0256402492523193,71
117,0.5,279,78,1.6611840724945068,78
117,0.75,180,72,3.6470236778259277,72
118,0.125,810,74,0.3040008544921875,74
118,0.25,449,76,0.790457010269165,76
118,0.5,381,78,4.458075761795044,78
118,0.75,222,76,3.7448360919952393,76
119,0.125,922,75,0.4988875389099121,75
119,0.25,523,79,1.859145164489746,79
119,0.5,334,75,2.7491185665130615,75
119,0.75,233,73,4.820215225219727,73
120,0.125,872,79,0.7077314853668213,79
120,0.25,459,75,1.9912097454071045,75
120,0.5,288,80,3.6136474609375,80
120,0.75,225,77,3.8926570415496826,77
121,0.125,913,79,0.8517861366271973,79
121,0.25,527,82,1.554295301437378,82
121,0.5,343,78,3.5830581188201904,78
121,0.75,172,73,3.3365530967712402,73
122,0.125,760,73,0.5284507274627686,73
122,0.25,537,80,1.173647165298462,80
122,0.5,383,81,3.567213535308838,81
122,0.75,192,76,5.4048261642456055,76
123,0.125,672,77,0.5340061187744141,77
123,0.25,522,84,1.7877683639526367,84
123,0.5,267,79,2.5778369903564453,79
123,0.75,205,79,3.6563122272491455,79
124,0.125,1006,80,0.9000139236450195,80
124,0.25,624,83,1.28519606590271,83
124,0.5,235,76,2.321502208709717,76
124,0.75,210,80,5.086458206176758,80
125,0.125,646,82,0.6417200565338135,82
125,0.25,546,81,1.5326013565063477,81
125,0.5,322,84,2.780700206756592,84
125,0.75,238,80,5.473134756088257,80
126,0.125,846,81,0.6569736003875732,81
126,0.25,494,82,1.02089524269104,82
126,0.5,265,84,2.5543878078460693,84
126,0.75,211,83,4.828216791152954,83
127,0.125,894,82,0.8921687602996826,82
127,0.25,537,79,2.167513608932495,79
127,0.5,270,82,2.574739456176758,82
127,0.75,168,79,3.107156991958618,79
128,0.125,861,82,0.5367870330810547,82
128,0.25,551,81,1.7234816551208496,81
128,0.5,347,85,3.4467570781707764,85
128,0.75,271,84,5.922636985778809,84
129,0.125,1098,85,0.902252197265625,85
129,0.25,389,80,1.8825876712799072,80
129,0.5,333,81,3.5190155506134033,81
129,0.75,215,80,3.6964704990386963,80
130,0.125,919,83,0.8671138286590576,83
130,0.25,524,84,1.9402127265930176,84
130,0.5,241,83,2.7920656204223633,83
130,0.75,228,80,3.4359209537506104,80
131,0.125,820,84,0.6513979434967041,84
131,0.25,521,87,2.0920464992523193,87
131,0.5,332,86,4.501912832260132,86
131,0.75,213,82,4.126754283905029,82
132,0.125,829,87,1.019881248474121,87
132,0.25,431,80,2.2136404514312744,80
132,0.5,305,81,3.6276798248291016,81
132,0.75,193,85,4.749096870422363,85
133,0.125,687,89,1.197883129119873,89
133,0.25,625,88,1.9757251739501953,88
133,0.5,329,87,4.151527166366577,87
133,0.75,198,84,5.1613545417785645,84
134,0.125,744,83,0.7463278770446777,83
134,0.25,530,87,1.8099632263183594,87
134,0.5,279,82,4.658955812454224,82
134,0.75,206,84,7.099315404891968,84
135,0.125,743,88,0.7559278011322021,88
135,0.25,610,94,2.6295340061187744,94
135,0.5,344,86,2.6946287155151367,86
135,0.75,246,85,7.443115711212158,85
136,0.125,734,87,0.8479561805725098,87
136,0.25,435,88,1.449181079864502,88
136,0.5,260,86,2.7004213333129883,86
136,0.75,230,84,8.274068117141724,84
137,0.125,863,87,1.0821073055267334,87
137,0.25,448,89,2.0953352451324463,89
137,0.5,327,92,2.4162561893463135,92
137,0.75,261,90,9.82000732421875,90
138,0.125,733,88,0.6369421482086182,88
138,0.25,395,84,2.232361078262329,84
138,0.5,277,89,4.228519439697266,89
138,0.75,181,86,4.632554292678833,86
139,0.125,1051,91,1.3258726596832275,91
139,0.25,585,85,2.544039726257324,85
139,0.5,441,94,6.125283241271973,94
139,0.75,198,84,5.729099273681641,84
140,0.125,823,89,1.063096523284912,89
140,0.25,520,94,1.8044309616088867,94
140,0.5,288,86,6.148733615875244,86
140,0.75,212,92,8.362779378890991,92
141,0.125,982,94,1.503246784210205,94
141,0.25,545,92,1.9795358180999756,92
141,0.5,389,96,4.72067928314209,96
141,0.75,213,90,5.199433326721191,90
142,0.125,878,93,1.3226392269134521,93
142,0.25,427,89,1.2969462871551514,89
142,0.5,252,90,5.129633188247681,90
142,0.75,272,91,5.926488161087036,91
143,0.125,851,92,0.740795373916626,92
143,0.25,489,89,2.1925153732299805,89
143,0.5,394,94,7.227971315383911,94
143,0.75,307,99,7.24463963508606,99
144,0.125,766,93,1.5602660179138184,93
144,0.25,549,91,2.2435595989227295,91
144,0.5,290,93,5.035448312759399,93
144,0.75,217,94,9.169254064559937,94
145,0.125,710,90,1.0947189331054688,90
145,0.25,511,95,2.764697313308716,95
145,0.5,286,93,3.1370999813079834,93
145,0.75,298,94,7.27832555770874,94
146,0.125,632,89,0.8907032012939453,89
146,0.25,514,97,1.9259912967681885,97
146,0.5,351,94,4.767620325088501,94
146,0.75,194,90,9.929640531539917,90
147,0.125,916,96,1.3514046669006348,96
147,0.25,424,87,1.4361381530761719,87
147,0.5,313,96,3.990558385848999,96
147,0.75,243,98,10.879971981048584,98
148,0.125,688,93,1.1188433170318604,93
148,0.25,679,96,2.3243110179901123,96
148,0.5,286,94,5.421320199966431,94
148,0.75,216,91,10.508133888244629,91
149,0.125,842,98,1.3088736534118652,98
149,0.25,492,99,2.060936212539673,99
149,0.5,329,97,7.319694519042969,97
149,0.75,289,101,11.402441024780273,101
150,0.125,885,91,1.179612159729004,91
150,0.25,515,97,3.582681655883789,97
150,0.5,253,95,4.5817461013793945,95
150,0.75,219,100,8.764132499694824,100
