vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,percentage_max_num_edges
15,99,6,0.007090330123901367,9024,1400,0.25,0.5,0.125
15,260,6,0.030512332916259766,21227,2700,0.25,0.5,0.25
15,203,8,0.07589459419250488,57138,5300,0.25,0.5,0.5
15,295,8,0.15080499649047852,128455,7900,0.25,0.5,0.75
16,324,8,0.007939338684082031,9023,1500,0.25,0.5,0.125
16,337,8,0.033003807067871094,21994,3000,0.25,0.5,0.25
16,348,10,0.09146547317504883,67057,6000,0.25,0.5,0.5
16,354,12,0.17360281944274902,156404,9000,0.25,0.5,0.75
17,223,6,0.009467363357543945,10675,1700,0.25,0.5,0.125
17,369,11,0.042458295822143555,31141,3400,0.25,0.5,0.25
17,195,10,0.11256027221679688,89210,6800,0.25,0.5,0.5
17,341,10,0.20276689529418945,184712,10200,0.25,0.5,0.75
18,389,8,0.02200484275817871,15613,2000,0.25,0.5,0.125
18,322,6,0.05246305465698242,38081,3900,0.25,0.5,0.25
18,324,11,0.11629056930541992,81367,7700,0.25,0.5,0.5
18,558,9,0.20012593269348145,168800,11500,0.25,0.5,0.75
19,246,7,0.023897886276245117,15965,2200,0.25,0.5,0.125
19,389,8,0.05891108512878418,43782,4300,0.25,0.5,0.25
19,407,12,0.13657450675964355,98591,8600,0.25,0.5,0.5
19,468,11,0.2613496780395508,233835,12900,0.25,0.5,0.75
20,457,11,0.026885271072387695,18489,2400,0.25,0.5,0.125
20,366,9,0.07831597328186035,63697,4800,0.25,0.5,0.25
20,366,9,0.16183066368103027,123254,9500,0.25,0.5,0.5
20,560,13,0.2714710235595703,241710,14300,0.25,0.5,0.75
21,325,12,0.033547163009643555,24173,2700,0.25,0.5,0.125
21,437,11,0.07555294036865234,52962,5300,0.25,0.5,0.25
21,581,14,0.19687342643737793,152948,10500,0.25,0.5,0.5
21,621,15,0.3789842128753662,343390,15800,0.25,0.5,0.75
22,384,9,0.03753495216369629,27649,2900,0.25,0.5,0.125
22,542,13,0.09242391586303711,68994,5800,0.25,0.5,0.25
22,442,12,0.17660975456237793,125464,11600,0.25,0.5,0.5
22,655,15,0.40313148498535156,357259,17400,0.25,0.5,0.75
23,496,15,0.03891754150390625,27023,3200,0.25,0.5,0.125
23,456,13,0.12721586227416992,104262,6400,0.25,0.5,0.25
23,364,13,0.24052834510803223,184308,12700,0.25,0.5,0.5
23,593,18,0.4549567699432373,385444,19000,0.25,0.5,0.75
24,347,9,0.047820091247558594,33044,3500,0.25,0.5,0.125
24,645,16,0.13268351554870605,99353,6900,0.25,0.5,0.25
24,647,15,0.26586198806762695,196790,13800,0.25,0.5,0.5
24,589,16,0.5418775081634521,460301,20700,0.25,0.5,0.75
25,574,13,0.05318784713745117,37017,3800,0.25,0.5,0.125
25,747,16,0.12378215789794922,89307,7500,0.25,0.5,0.25
25,855,19,0.3438270092010498,267328,15000,0.25,0.5,0.5
25,742,19,0.6980011463165283,625507,22500,0.25,0.5,0.75
26,622,13,0.0535578727722168,35817,4100,0.25,0.5,0.125
26,655,17,0.1800234317779541,153246,8200,0.25,0.5,0.25
26,608,16,0.3255147933959961,233642,16300,0.25,0.5,0.5
26,714,19,0.8227519989013672,751173,24400,0.25,0.5,0.75
27,606,16,0.06260204315185547,41580,4400,0.25,0.5,0.125
27,731,16,0.1781609058380127,130140,8800,0.25,0.5,0.25
27,851,17,0.34163665771484375,270146,17600,0.25,0.5,0.5
27,758,21,0.9504313468933105,819443,26400,0.25,0.5,0.75
28,530,13,0.06260204315185547,39359,4800,0.25,0.5,0.125
28,835,18,0.17661643028259277,133520,9500,0.25,0.5,0.25
28,805,19,0.5660295486450195,475865,18900,0.25,0.5,0.5
28,918,25,0.7370493412017822,613203,28400,0.25,0.5,0.75
29,839,14,0.07570958137512207,50592,5100,0.25,0.5,0.125
29,851,17,0.1697385311126709,114102,10200,0.25,0.5,0.25
29,818,22,0.4851396083831787,378662,20300,0.25,0.5,0.5
29,1040,22,0.9675853252410889,782202,30500,0.25,0.5,0.75
30,693,20,0.09062528610229492,62347,5500,0.25,0.5,0.125
30,790,21,0.2532668113708496,188126,10900,0.25,0.5,0.25
30,905,19,0.44776368141174316,318497,21800,0.25,0.5,0.5
30,920,22,1.098980188369751,881276,32700,0.25,0.5,0.75
